name,brand,location,year,vehicle_age,kilometers_driven,fuel_type,transmission,owner_type,mileage_kmpl,engine_cc,power_bhp,seats,price
Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,10,33000.0,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85
Honda City Corporate Edition,Honda,Mumbai,2012,8,51920.0,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25
Nissan Micra Diesel XV,Nissan,Hyderabad,2012,8,54000.0,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25
Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,7,54000.0,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75
Honda WRV i-VTEC VX,Honda,Kochi,2018,2,37430.0,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,13,262000.0,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0
Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,7,62000.0,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75
Toyota Corolla Altis G,Toyota,Delhi,2012,8,87615.0,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75
Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,7,72000.0,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5
Audi A6 2.7 TDI,Audi,Kolkata,2010,10,35000.0,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5
Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,6,55431.0,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98
Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,11,83816.0,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,2,50075.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,3,52000.0,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85
Mercedes-Benz M-Class ML 350 CDI,Mercedes-Benz,Pune,2013,7,85000.0,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,7,62000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0
Maruti Alto LXi,Maruti,Delhi,2008,12,90000.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25
Tata Nano LX SE,Tata,Kochi,2014,6,19698.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,3,22033.0,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58
Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,6,35487.0,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74
Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,6,46374.0,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85
Toyota Corolla Altis G AT,Toyota,Mumbai,2016,4,52001.0,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,12,58005.0,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25
Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,8,70704.0,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95
Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,6,75000.0,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85
Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,8,75800.0,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,5,13648.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43
Maruti Swift LDI,Maruti,Delhi,2014,6,52000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25
Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,6,53000.0,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3
Maruti Swift VDI,Maruti,Delhi,2013,7,65650.0,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85
Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,5,54000.0,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,5,39000.0,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99
Renault KWID RXT,Renault,Kochi,2017,3,16542.0,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3
Hyundai i10 Asta,Hyundai,Kolkata,2010,10,32000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07
Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,10,121812.0,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75
Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,10,39300.0,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,3,22000.0,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5
Ford Figo Diesel Titanium,Ford,Bangalore,2010,10,72000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes-Benz,Delhi,2015,5,58000.0,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Mercedes-Benz,Pune,2011,9,65000.0,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0
Tata Indica V2 eLS,Tata,Chennai,2016,4,178000.0,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5
Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,8,65664.0,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5
Honda City ZX CVT,Honda,Mumbai,2007,13,63000.0,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85
Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,Coimbatore,2019,1,15369.0,Diesel,Automatic,First,,1950.0,194.0,5.0,35.67
Maruti Ertiga SHVS VDI,Maruti,Pune,2016,4,63000.0,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,2,13000.0,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5
Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,12,73000.0,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5
Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,5,55729.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65
Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,8,45178.0,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48
Nissan Terrano XV D Pre,Nissan,Kochi,2015,5,56066.0,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92
Honda Brio VX AT,Honda,Coimbatore,2016,4,37300.0,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46
Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,6,56000.0,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5
Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,12,111111.0,Diesel,Manual,First,17.8,1399.0,,5.0,2.0
Toyota Innova 2.0 G1,Toyota,Chennai,2006,14,230000.0,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,8,104000.0,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75
Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,15,87591.0,Petrol,Manual,First,,1086.0,,5.0,1.3
Maruti Swift VDI,Maruti,Jaipur,2012,8,95100.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
Tata Zest Revotron 1.2T XE,Tata,Pune,2017,3,70000.0,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5
Honda Amaze SX i-VTEC,Honda,Kochi,2016,4,54944.0,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82
Ford Figo Diesel ZXI,Ford,Hyderabad,2012,8,70337.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8
Maruti Ritz VDi,Maruti,Jaipur,2013,7,99638.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11
Honda City i VTEC E,Honda,Delhi,2009,11,52000.0,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25
BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,9,75000.0,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9
Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,11,95980.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25
Hyundai Grand i10 Sportz,Hyundai,Bangalore,2016,4,16000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,13,73745.0,Petrol,Manual,First,17.0,1086.0,,5.0,2.1
Honda Amaze SX i-VTEC,Honda,Mumbai,2016,4,18949.0,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0
Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,6,107000.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5
Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,2,48367.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,7,57000.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,6,58000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1
Honda Amaze SX i-DTEC,Honda,Kolkata,2015,5,30000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,7,34212.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79
Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,10,70002.0,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,4,62000.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,10,62001.0,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65
Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,9,78958.0,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8
Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,6,30180.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65
Datsun GO Plus T Petrol,Datsun,Pune,2017,3,32851.0,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95
Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,10,30000.0,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8
Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,11,66000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7
Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,10,93850.0,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41
Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,6,53000.0,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,9,78000.0,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,8,65000.0,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,6,40000.0,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25
Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,3,30000.0,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25
Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,3,38053.0,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91
Tata Nano Twist XT,Tata,Bangalore,2014,6,25500.0,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15
BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,5,56087.0,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,10,71088.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,6,55000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11
Volvo V40 Cross Country D3,Volvo,Bangalore,2014,6,32700.0,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0
Nissan Micra XV CVT,Nissan,Coimbatore,2016,4,39882.0,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55
BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,11,128000.0,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0
Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,4,55000.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,15,102000.0,Petrol,Manual,Second,17.0,1086.0,,5.0,0.85
Mercedes-Benz B Class B200 CDI,Mercedes-Benz,Pune,2014,6,53753.0,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,2,10250.0,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95
Maruti Wagon R LXI BS IV,Maruti,Pune,2011,9,43874.0,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
Tata Nano XTA,Tata,Coimbatore,2017,3,32684.0,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23
Mahindra Scorpio VLX,Mahindra,Kolkata,2014,6,42000.0,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75
Mercedes-Benz New C-Class 200 K AT,Mercedes-Benz,Kolkata,2009,11,28352.0,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35
Maruti Wagon R LXI CNG,Maruti,Pune,2013,7,89900.0,CNG,Manual,First,26.6,998.0,58.16,5.0,3.25
Honda CR-V 2.4 MT,Honda,Bangalore,2007,13,47700.0,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,2015,5,55000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25
Maruti Ciaz VXi Plus,Maruti,Kochi,2017,3,44285.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47
Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,2016,4,54000.0,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25
Maruti Ritz VXI ABS,Maruti,Coimbatore,2016,4,30232.0,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81
Maruti Alto K10 VXI,Maruti,Hyderabad,2014,6,88500.0,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6
Mercedes-Benz SLC 43 AMG,Mercedes-Benz,Kolkata,2017,3,13372.0,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,1,12645.0,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5
Maruti Alto LXi BSIII,Maruti,Chennai,2010,10,94385.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6
BMW 1 Series 118d Base,BMW,Coimbatore,2015,5,31821.0,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22
Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,2015,5,12000.0,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2012,8,88578.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes-Benz,Kochi,2014,6,44965.0,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95
Honda Amaze SX i-DTEC,Honda,Kolkata,2014,6,45044.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7
Maruti Swift VVT VXI,Maruti,Kochi,2016,4,34204.0,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43
Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,2008,12,80759.0,Petrol,Manual,Third,17.0,1086.0,,5.0,1.67
Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,2012,8,91235.0,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49
Chevrolet Beat LT Option,Chevrolet,Pune,2014,6,38800.0,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85
Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,2013,7,83000.0,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75
Maruti Ciaz 1.4 Alpha,Maruti,Kochi,2018,2,41283.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9
Audi RS5 Coupe,Audi,Mumbai,2013,7,23000.0,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0
BMW 3 Series Luxury Line,BMW,Mumbai,2014,6,48000.0,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Coimbatore,2015,5,48214.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32
Maruti Swift VDI,Maruti,Chennai,2016,4,35000.0,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25
Mercedes-Benz S Class 2005 2013 S 500,Mercedes-Benz,Kolkata,2010,10,35277.0,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,2016,4,54620.0,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,2012,8,136997.0,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5
Hyundai EON Magna Plus,Hyundai,Kochi,2019,1,14322.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Jaipur,2012,8,65634.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5
Datsun GO NXT,Datsun,Kolkata,2016,4,6000.0,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5
Honda Brio S MT,Honda,Kolkata,2013,7,33280.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39
Mercedes-Benz B Class B180,Mercedes-Benz,Delhi,2013,7,29000.0,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25
Honda City i DTEC V,Honda,Kochi,2015,5,42831.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,2016,4,90000.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9
Maruti Swift VXI Optional,Maruti,Ahmedabad,2017,3,24005.0,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2
Mahindra XUV500 W8 2WD,Mahindra,Mumbai,2012,8,32792.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Kochi,2014,6,147898.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42
Toyota Fortuner 4x2 Manual,Toyota,Mumbai,2012,8,131765.0,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Chennai,2013,7,65000.0,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25
Ford Figo Diesel Titanium,Ford,Jaipur,2010,10,66123.0,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1
BMW X5 xDrive 30d,BMW,Mumbai,2015,5,41000.0,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0
Mercedes-Benz New C-Class C 220 CDI Style,Mercedes-Benz,Coimbatore,2017,3,23550.0,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66
Honda Brio V MT,Honda,Bangalore,2012,8,45000.0,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65
Hyundai i10 Magna 1.2,Hyundai,Delhi,2013,7,60000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75
Mercedes-Benz GLC 220,Mercedes-Benz,Bangalore,2016,4,44414.0,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,2019,1,1000.0,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,2012,8,62500.0,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0
Volkswagen Vento Petrol Highline AT,Volkswagen,Mumbai,2013,7,21000.0,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45
Mini Countryman Cooper D,Mini,Jaipur,2017,3,8525.0,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0
Hyundai i20 Asta 1.4 CRDi,Hyundai,Bangalore,2014,6,29000.0,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,2014,6,40000.0,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95
Chevrolet Beat Diesel LT,Chevrolet,Jaipur,2012,8,88000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5
Skoda Superb Elegance 1.8 TSI AT,Skoda,Kochi,2012,8,53537.0,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Chennai,2006,14,216000.0,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45
BMW 5 Series 520d Luxury Line,BMW,Hyderabad,2014,6,51000.0,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Jaipur,2007,13,118500.0,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,2012,8,63000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2
Renault Lodgy 110PS RxZ 8 Seater,Renault,Mumbai,2015,5,25000.0,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes-Benz,Bangalore,2014,6,37382.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0
Maruti Baleno Alpha,Maruti,Kochi,2017,3,24773.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5
Hyundai Verna 1.6 SX,Hyundai,Delhi,2012,8,62000.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6
Hyundai i10 Magna 1.1,Hyundai,Kochi,2017,3,52340.0,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04
Mahindra Scorpio 1.99 S10 4WD,Mahindra,Kochi,2016,4,56739.0,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31
Land Rover Range Rover 2.2L Dynamic,Land,Coimbatore,2018,2,36091.0,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76
Ford Figo Diesel ZXI,Ford,Chennai,2010,10,120000.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6
